"date","node","cpu","int","mem"
"2014-02-01 04:05:00","lbpeuid01.sceu.corp",9,0.02,91.5
"2014-02-01 04:05:00","lbpeuid02.sceu.corp",9.5,0,91.09
"2014-02-01 04:05:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 04:05:00","lbpeuin02.sceu.corp",12,0.01,92.1
"2014-02-01 04:10:00","lbpeuid01.sceu.corp",8.5,0.02,91.5
"2014-02-01 04:10:00","lbpeuid02.sceu.corp",10,0,91.1
"2014-02-01 04:10:00","lbpeuin01.sceu.corp",10,0.01,92.01
"2014-02-01 04:10:00","lbpeuin02.sceu.corp",11.5,0.01,92.1
"2014-02-01 04:15:00","lbpeuid01.sceu.corp",8.5,0.02,91.5
"2014-02-01 04:15:00","lbpeuid02.sceu.corp",9.5,0,91.24
"2014-02-01 04:15:00","lbpeuin01.sceu.corp",10,0.01,91.99
"2014-02-01 04:15:00","lbpeuin02.sceu.corp",13.5,0.01,92.09
"2014-02-01 04:20:00","lbpeuid01.sceu.corp",8.5,0.02,91.5
"2014-02-01 04:20:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 04:20:00","lbpeuin01.sceu.corp",10,0.02,92.01
"2014-02-01 04:20:00","lbpeuin02.sceu.corp",12,0.01,92.1
"2014-02-01 04:25:00","lbpeuid01.sceu.corp",8.5,0.03,91.51
"2014-02-01 04:25:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 04:25:00","lbpeuin01.sceu.corp",10,0.03,92.01
"2014-02-01 04:25:00","lbpeuin02.sceu.corp",12,0.01,92.09
"2014-02-01 04:30:00","lbpeuid01.sceu.corp",8.5,0.02,91.51
"2014-02-01 04:30:00","lbpeuid02.sceu.corp",9.5,0,91.22
"2014-02-01 04:30:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 04:30:00","lbpeuin02.sceu.corp",12,0.01,92.1
"2014-02-01 04:35:00","lbpeuid01.sceu.corp",8.5,0.02,91.51
"2014-02-01 04:35:00","lbpeuid02.sceu.corp",9.5,0,91.23
"2014-02-01 04:35:00","lbpeuin01.sceu.corp",10.5,0.01,92
"2014-02-01 04:35:00","lbpeuin02.sceu.corp",12,0.01,92.09
"2014-02-01 04:40:00","lbpeuid01.sceu.corp",8.5,0.01,91.51
