"cpu.d01","int.d01","mem.d01","cpu.d02","int.d02","mem.d02","cpu.n01","int.n01","mem.n01","cpu.n02","int.n02","mem.n02"
10 0.03 92.01 10 0.03 92.01 10 0.03 92.01 10 0.03 92.01
12 0.01 92.09 12 0.01 92.09 12 0.01 92.09 12 0.01 92.09
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.22 9.5 0 91.22 9.5 0 91.22 9.5 0 91.22
10.5 0.01 92 10.5 0.01 92 10.5 0.01 92 10.5 0.01 92
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.01 92 10.5 0.01 92 10.5 0.01 92 10.5 0.01 92
12 0.01 92.09 12 0.01 92.09 12 0.01 92.09 12 0.01 92.09
8.5 0.01 91.51 8.5 0.01 91.51 8.5 0.01 91.51 8.5 0.01 91.51
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
16.5 0.02 92 16.5 0.02 92 16.5 0.02 92 16.5 0.02 92
11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1
9 0.02 91.5 9 0.02 91.5 9 0.02 91.5 9 0.02 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10 0.01 92.01 10 0.01 92.01 10 0.01 92.01 10 0.01 92.01
11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
10.5 0 91.22 10.5 0 91.22 10.5 0 91.22 10.5 0 91.22
10 0.02 92 10 0.02 92 10 0.02 92 10 0.02 92
11.5 0.01 92.09 11.5 0.01 92.09 11.5 0.01 92.09 11.5 0.01 92.09
8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.03 92 10.5 0.03 92 10.5 0.03 92 10.5 0.03 92
11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1
9 0.02 91.5 9 0.02 91.5 9 0.02 91.5 9 0.02 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.03 91.96 10.5 0.03 91.96 10.5 0.03 91.96 10.5 0.03 91.96
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8.5 0.03 91.51 8.5 0.03 91.51 8.5 0.03 91.51 8.5 0.03 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10 0.02 91.95 10 0.02 91.95 10 0.02 91.95 10 0.02 91.95
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5
10 0 91.23 10 0 91.23 10 0 91.23 10 0 91.23
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5 8.5 0.02 91.5
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1 11.5 0.01 92.1
8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5
9.5 0 91.25 9.5 0 91.25 9.5 0 91.25 9.5 0 91.25
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
9.5 0.03 91.96 9.5 0.03 91.96 9.5 0.03 91.96 9.5 0.03 91.96
12 0.01 92.1 12 0.01 92.1 12 0.01 92.1 12 0.01 92.1
8 0.02 91.52 8 0.02 91.52 8 0.02 91.52 8 0.02 91.52
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10 0.01 91.97 10 0.01 91.97 10 0.01 91.97 10 0.01 91.97
11.5 0.01 92.09 11.5 0.01 92.09 11.5 0.01 92.09 11.5 0.01 92.09
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10.5 0.02 91.98 10.5 0.02 91.98 10.5 0.02 91.98 10.5 0.02 91.98
12.5 0.01 91.47 12.5 0.01 91.47 12.5 0.01 91.47 12.5 0.01 91.47
8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5 8.5 0.03 91.5
9.5 0 91.22 9.5 0 91.22 9.5 0 91.22 9.5 0 91.22
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
12 0.01 91.47 12 0.01 91.47 12 0.01 91.47 12 0.01 91.47
8.5 0.02 91.52 8.5 0.02 91.52 8.5 0.02 91.52 8.5 0.02 91.52
9.5 0 91.24 9.5 0 91.24 9.5 0 91.24 9.5 0 91.24
10 0.01 91.96 10 0.01 91.96 10 0.01 91.96 10 0.01 91.96
11.5 0.01 91.49 11.5 0.01 91.49 11.5 0.01 91.49 11.5 0.01 91.49
8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51 8.5 0.02 91.51
9.5 0 91.23 9.5 0 91.23 9.5 0 91.23 9.5 0 91.23
10 0.01 91.97 10 0.01 91.97 10 0.01 91.97 10 0.01 91.97
11.5 0.01 91.5 11.5 0.01 91.5 11.5 0.01 91.5 11.5 0.01 91.5
